"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 11:41:56 UTC 2022","Tue Nov 08 11:42:12 UTC 2022","15782","","Edit Profile: [VS-713] User is able to change ""Nationality""","","Edit Profile: [VS-713] User is able to change ""Nationality""","Should go to ""Edit Profile"" page and change ""Nationality"".","Should go to ""Edit Profile"" page and change ""Nationality"".",""
"passed","Tue Nov 08 11:20:26 UTC 2022","Tue Nov 08 11:20:34 UTC 2022","8238","","Edit Profile: [VS-683] User is able to add/edit ""About me""","","Edit Profile: [VS-683] User is able to add/edit ""About me""","Should click ""Preview"" btn and verify that ""About Me"" is changed.","Should click ""Preview"" btn and verify that ""About Me"" is changed.",""
"passed","Tue Nov 08 11:37:14 UTC 2022","Tue Nov 08 11:37:23 UTC 2022","8605","","Edit Profile: [VS-712] User is able to change ""Location""","","Edit Profile: [VS-712] User is able to change ""Location""","Should go to ""View Profile"" and verify that ""Location"" is changed.","Should go to ""View Profile"" and verify that ""Location"" is changed.",""
"passed","Tue Nov 08 10:53:57 UTC 2022","Tue Nov 08 10:54:22 UTC 2022","24662","","Log In: [VS-651] Log in with phone number: Log in with an account with ""Active"" status","","Log In: [VS-651] Log in with phone number: Log in with an account with ""Active"" status","Should login with valid cred.","Should login with valid cred.",""
"passed","Tue Nov 08 11:15:31 UTC 2022","Tue Nov 08 11:15:58 UTC 2022","27333","","Edit Profile: [VS-673] User is able to see profile preview","","Edit Profile: [VS-673] User is able to see profile preview","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 10:58:35 UTC 2022","Tue Nov 08 10:58:48 UTC 2022","12775","","Log In: [VS-652] Log in with phone number: Log in with wrong password","","Log In: [VS-652] Log in with phone number: Log in with wrong password","Should receive alert after login try.","Should receive alert after login try.",""
"passed","Tue Nov 08 12:26:28 UTC 2022","Tue Nov 08 12:26:36 UTC 2022","8330","","Edit Profile: [VS-723] User is able to change ""Drugs""","","Edit Profile: [VS-723] User is able to change ""Drugs""","Should go to ""View Profile"" and verify that ""Drugs"" is changed.","Should go to ""View Profile"" and verify that ""Drugs"" is changed.",""
"passed","Tue Nov 08 11:44:11 UTC 2022","Tue Nov 08 11:44:26 UTC 2022","15272","","Edit Profile: [VS-716] User is able to change ""Interests""","","Edit Profile: [VS-716] User is able to change ""Interests""","Should go to ""Edit Profile"" page.","Should go to ""Edit Profile"" page.",""
"passed","Tue Nov 08 11:38:59 UTC 2022","Tue Nov 08 11:39:30 UTC 2022","31302","","Edit Profile: [VS-715] User is able to add/change ""University/School""","","Edit Profile: [VS-715] User is able to add/change ""University/School""","Should go to account.","Should go to account.",""
"failed","Tue Nov 08 12:11:24 UTC 2022","Tue Nov 08 12:11:45 UTC 2022","20585","","Edit Profile: [VS-719] User is able to change ""Star sign""","","Edit Profile: [VS-719] User is able to change ""Star sign""","Should go to ""View Profile"" and verify that ""Star sign"" is changed.","Should go to ""View Profile"" and verify that ""Star sign"" is changed.",""
"passed","Tue Nov 08 11:24:15 UTC 2022","Tue Nov 08 11:24:43 UTC 2022","28300","","Edit Profile: [VS-684] User is able to add/edit ""Occupation""","","Edit Profile: [VS-684] User is able to add/edit ""Occupation""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 11:24:49 UTC 2022","Tue Nov 08 11:24:58 UTC 2022","8328","","Edit Profile: [VS-684] User is able to add/edit ""Occupation""","","Edit Profile: [VS-684] User is able to add/edit ""Occupation""","Should go to ""View Profile"" and verify that ""Occupation"" is changed.","Should go to ""View Profile"" and verify that ""Occupation"" is changed.",""
"passed","Tue Nov 08 12:43:50 UTC 2022","Tue Nov 08 12:43:53 UTC 2022","3298","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","Should go to ""Matching Survey"" page","Should go to ""Matching Survey"" page",""
"passed","Tue Nov 08 11:33:46 UTC 2022","Tue Nov 08 11:34:19 UTC 2022","33377","","Edit Profile: [VS-714] User is able to change ""Languages""","","Edit Profile: [VS-714] User is able to change ""Languages""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 11:59:53 UTC 2022","Tue Nov 08 12:00:10 UTC 2022","17173","","Edit Profile: [VS-719] User is able to change ""Star sign""","","Edit Profile: [VS-719] User is able to change ""Star sign""","Should go to ""Edit Profile"" page.","Should go to ""Edit Profile"" page.",""
"passed","Tue Nov 08 12:33:41 UTC 2022","Tue Nov 08 12:33:43 UTC 2022","2611","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","Should go to ""Matching Survey"" page","Should go to ""Matching Survey"" page",""
"passed","Tue Nov 08 11:47:26 UTC 2022","Tue Nov 08 11:47:35 UTC 2022","9211","","Edit Profile: [VS-714] User is able to change ""Languages""","","Edit Profile: [VS-714] User is able to change ""Languages""","Should go to ""View Profile"" and verify that ""Languages"" is changed.","Should go to ""View Profile"" and verify that ""Languages"" is changed.",""
"passed","Tue Nov 08 11:48:55 UTC 2022","Tue Nov 08 11:49:30 UTC 2022","35308","","Edit Profile: [VS-717] User is able to change ""Height""","","Edit Profile: [VS-717] User is able to change ""Height""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 13:04:37 UTC 2022","Tue Nov 08 13:05:00 UTC 2022","22590","","Members: [VS-2569] User is able to filter members","","Members: [VS-2569] User is able to filter members","Should filter users by height.","Should filter users by height.",""
